TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,4,0,0.65,4.65,0
1,9,0,0.65,9.65,0
2,3,0,0.0,4.15,1
3,2,0,0.0,2.65,0
4,5,0,0.25,5.25,0
5,3,0,0.15,3.15,0
6,3,0,0.7,3.7,0
7,8,0,0.3,8.3,1
8,6,0,0.5,6.5,0
9,5,0,0.5,6.2,0
10,20,0,0.7,20.7,2
11,5,0,0.2,5.85,0
12,6,0,0.3,6.299999999999999,0
13,3,0,0.7,3.7,0
14,8,0,0.0,8.6,1
15,15,0,0.55,16.200000000000003,1
16,2,0,0.1,2.1,0
17,0,0,0.0,0.0,0
18,8,0,0.7,8.7,0
19,5,0,0.75,5.75,0
20,3,0,0.05,3.75,0
21,7,0,0.65,7.65,1
22,3,0,0.35,3.7,0
23,6,0,0.0,7.4,0
24,7,0,0.35,7.35,1
25,0,0,0.0,0.0,0
26,6,0,0.3,6.3,0
27,7,0,0.25,7.8999999999999995,0
28,5,0,0.0,5.800000000000001,0
29,5,0,0.0,5.35,1
30,6,0,0.3,6.3,1
31,3,0,0.15,3.15,0
32,1,0,0.05,1.05,0
33,2,0,0.0,2.15,0
34,15,0,0.3,15.75,1
35,5,0,0.0,5.95,1
36,0,0,0.0,0.0,0
37,5,0,0.0,5.9,0
38,7,0,0.05,8.25,0
39,3,0,0.05,3.6999999999999997,0
40,3,0,0.0,3.4,1
41,11,0,0.7,11.7,0
42,10,0,0.7,10.7,0
43,2,0,0.0,2.7,0
44,8,0,0.7,8.7,1
45,8,0,0.2,8.85,0
46,8,0,0.35,8.35,0
47,4,0,0.2,4.2,1
48,11,0,0.7,11.7,0
49,10,0,0.7,10.7,0
50,1,0,0.05,1.0499999999999998,0
51,8,0,0.5,9.200000000000001,1
52,2,0,0.0,2.15,0
53,0,0,0.0,0.0,0
54,8,0,0.05,8.45,0
55,6,0,0.0,6.850000000000001,1
56,6,0,0.35,6.35,0
57,5,0,0.35,5.35,0
58,10,0,0.35,10.95,1
59,3,0,0.35,3.6999999999999997,0
60,2,0,0.1,2.1,0
61,11,0,0.7,11.7,0
62,2,0,0.0,2.6,0
63,13,0,0.65,13.65,1
64,4,0,0.65,4.65,0
65,10,0,0.7,10.7,0
66,2,0,0.1,2.0999999999999996,0
67,12,0,0.3,12.899999999999999,1
68,10,0,0.7,10.7,0
69,6,0,0.0,6.299999999999999,1
70,6,0,0.0,6.25,0
71,5,0,0.0,5.9,0
72,4,0,0.35,4.35,1
73,5,0,0.0,5.35,0
74,11,0,0.7,11.7,0
75,0,0,0.0,0.0,0
76,16,0,0.0,16.7,2
77,3,0,0.05,3.25,0
78,3,0,0.0,3.7,0
79,5,0,0.35,5.35,0
80,13,0,0.2,14.2,1
81,8,0,0.7,8.7,0
82,8,0,0.5,9.15,1
83,4,0,0.0,4.5,0
84,5,0,0.0,5.550000000000001,1
85,1,0,0.05,1.0499999999999998,0
86,5,0,0.05,6.1000000000000005,0
87,4,0,0.0,4.65,0
88,4,0,0.65,4.65,1
89,2,0,0.0,2.65,0
90,4,0,0.0,4.35,0
91,9,0,0.35,10.0,1
92,2,0,0.0,2.3499999999999996,0
93,1,0,0.05,1.0499999999999998,0
94,13,0,0.2,14.25,2
95,8,0,0.3,8.3,0
96,3,0,0.05,3.6999999999999997,0
97,0,0,0.0,0.0,0
98,7,0,0.0,8.2,1
99,12,0,0.65,12.65,0
100,6,0,0.35,6.35,0
101,11,0,0.0,11.75,1
102,5,0,0.0,5.6,1
103,26,0,0.1,26.400000000000002,2
104,4,0,0.7,4.7,0
105,19,0,0.0,19.95,2
106,8,0,0.55,9.25,1
107,10,0,0.7,10.7,0
108,10,0,0.7,10.7,0
109,2,0,0.0,2.3,1
110,1,0,0.05,1.0499999999999998,0
111,6,0,0.3,6.3,0
112,5,0,0.7,5.7,1
113,6,0,0.3,6.299999999999999,0
114,3,0,0.0,3.35,0
115,9,0,0.65,9.65,1
116,5,0,0.05,6.0,0
117,17,0,0.7,17.7,1
118,5,0,0.35,5.35,0
119,2,0,0.0,2.7,0
120,1,0,0.05,1.05,0
121,4,0,0.45,4.45,0
122,3,0,0.0,3.3499999999999996,1
123,9,0,0.0,10.0,0
124,4,0,0.2,4.2,0
125,8,0,0.35,8.35,1
126,7,0,0.35,7.8,0
127,7,0,0.3,7.3,1
128,1,0,0.1,1.1,0
129,9,0,0.45,10.1,0
130,0,0,0.0,0.0,0
131,5,0,0.6,5.6,0
132,1,0,0.0,1.2,0
133,8,0,0.7,8.7,1
134,6,0,0.65,6.65,0
135,2,0,0.1,2.1,0
136,5,0,0.25,5.25,0
137,3,0,0.0,3.75,0
138,4,0,0.1,4.75,0
139,11,0,0.35,12.0,1
140,10,0,0.3,11.500000000000002,0
141,0,0,0.0,0.0,1
142,6,0,0.5,6.5,0
143,7,0,0.4,7.4,1
144,1,0,0.05,1.0499999999999998,0
145,7,0,0.25,7.950000000000001,0
